指标名称,钢材价格指数:螺纹钢:Φ12-25,收盘价:螺纹指数,热卷:中国:市场价,收盘价:热卷指数
2010/12/1,,4679.68 ,,
2010/12/2,,4688.51 ,,
2010/12/3,130.9,4729.79 ,668,
2010/12/6,,4722.06 ,,
2010/12/7,,4762.34 ,,
2010/12/8,,4716.46 ,,
2010/12/9,,4720.99 ,671,
2010/12/10,131.81,4732.33 ,,
2010/12/13,,4781.97 ,,
2010/12/14,,4785.93 ,,
2010/12/15,,4776.70 ,,
2010/12/16,,4771.13 ,,
2010/12/17,132.98,4794.68 ,680,
2010/12/20,,4805.21 ,,
2010/12/21,,4826.41 ,,
2010/12/22,,4799.79 ,,
2010/12/23,,4780.77 ,,
2010/12/24,133.92,4770.01 ,688,
2010/12/27,,4742.15 ,,
2010/12/28,,4751.99 ,,
2010/12/29,,4777.39 ,,
2010/12/30,,4798.66 ,691,
2010/12/31,133.41,4822.07 ,,
2011/1/4,,4833.44 ,,
2011/1/5,,4811.30 ,,
2011/1/6,,4832.11 ,706,
2011/1/7,134.06,4816.38 ,,
2011/1/10,,4869.11 ,,
2011/1/11,,4882.62 ,,
2011/1/12,,4885.36 ,,
2011/1/13,,4910.63 ,718,
2011/1/14,134.41,4944.32 ,,
2011/1/17,,4952.98 ,,
2011/1/18,,4948.29 ,,
2011/1/19,,4965.93 ,,
2011/1/20,,4952.89 ,725,
2011/1/21,136.2,4986.56 ,,
2011/1/24,,5005.92 ,,
2011/1/25,,5013.79 ,,
2011/1/26,,4992.09 ,,
2011/1/27,,4976.62 ,740,
2011/1/28,137.66,4983.19 ,,
2011/1/31,,5048.08 ,,
2011/2/1,,5073.38 ,,
2011/2/9,,5073.27 ,,
2011/2/10,,5139.52 ,,
2011/2/11,139.11,5130.60 ,753,
2011/2/14,,5118.89 ,,
2011/2/15,,5124.95 ,,
2011/2/16,,5074.83 ,,
2011/2/17,,4994.15 ,,
2011/2/18,141.36,4967.14 ,744,
2011/2/21,,5006.99 ,,
2011/2/22,,4988.74 ,,
2011/2/23,,4935.82 ,,
2011/2/24,,4890.14 ,,
2011/2/25,140.28,4868.88 ,733,
2011/2/28,,4899.05 ,,
2011/3/1,,4836.71 ,,
2011/3/2,,4849.49 ,,
2011/3/3,,4816.67 ,,
2011/3/4,138.77,4819.38 ,727,
2011/3/7,,4833.82 ,,
2011/3/8,,4777.10 ,,
2011/3/9,,4774.33 ,,
2011/3/10,,4680.38 ,,
2011/3/11,136.12,4656.30 ,707,
2011/3/14,,4731.19 ,,
2011/3/15,,4772.56 ,,
2011/3/16,,4830.65 ,,
2011/3/17,,4817.15 ,,
2011/3/18,134.64,4756.08 ,723,
2011/3/21,,4653.88 ,,
2011/3/22,,4649.91 ,,
2011/3/23,,4728.44 ,,
2011/3/24,,4717.94 ,,
2011/3/25,134.12,4730.30 ,727,
2011/3/28,,4778.52 ,,
2011/3/29,,4812.75 ,,
2011/3/30,,4793.27 ,,
2011/3/31,,4793.50 ,727,
2011/4/1,135.49,4779.86 ,,
2011/4/6,,4872.74 ,,
2011/4/7,,4883.10 ,738,
2011/4/8,136.35,4905.45 ,,
2011/4/11,,4919.08 ,,
2011/4/12,,4902.48 ,,
2011/4/13,,4921.45 ,,
2011/4/14,,4906.80 ,,
2011/4/15,138.8,4827.16 ,749,
2011/4/18,,4844.26 ,,
2011/4/19,,4774.71 ,,
2011/4/20,,4814.68 ,,
2011/4/21,,4849.39 ,,
2011/4/22,138.34,4873.08 ,749,
2011/4/25,,4878.91 ,,
2011/4/26,,4896.14 ,,
2011/4/27,,4885.46 ,,
2011/4/28,,4906.63 ,,
2011/4/29,140.19,4915.41 ,753,
2011/5/3,,4953.60 ,,
2011/5/4,,4941.38 ,,
2011/5/5,,4914.15 ,,
2011/5/6,142.56,4805.49 ,759,
2011/5/9,,4829.88 ,,
2011/5/10,,4849.44 ,,
2011/5/11,,4822.65 ,,
2011/5/12,,4783.62 ,,
2011/5/13,143.02,4851.49 ,758,
2011/5/16,,4819.65 ,,
2011/5/17,,4823.78 ,,
2011/5/18,,4814.82 ,,
2011/5/19,,4830.90 ,,
2011/5/20,143.27,4826.14 ,751,
2011/5/23,,4780.14 ,,
2011/5/24,,4809.22 ,,
2011/5/25,,4824.49 ,,
2011/5/26,,4829.78 ,751,
2011/5/27,143.22,4838.91 ,,
2011/5/30,,4876.16 ,,
2011/5/31,,4877.37 ,,
2011/6/1,,4868.61 ,,
2011/6/2,,4863.59 ,,
2011/6/3,143.33,4869.85 ,753,
2011/6/7,,4866.78 ,,
2011/6/8,,4871.77 ,,
2011/6/9,,4851.96 ,,
2011/6/10,143.42,4855.80 ,753,
2011/6/13,,4809.98 ,,
2011/6/14,,4815.20 ,,
2011/6/15,,4799.57 ,,
2011/6/16,,4784.06 ,,
2011/6/17,143.76,4734.32 ,748,
2011/6/20,,4690.56 ,,
2011/6/21,,4713.69 ,,
2011/6/22,,4694.76 ,,
2011/6/23,,4733.33 ,,
2011/6/24,141.19,4731.13 ,740,
2011/6/27,,4703.21 ,,
2011/6/28,,4706.29 ,,
2011/6/29,,4725.91 ,,
2011/6/30,,4752.12 ,,
2011/7/1,140.74,4725.97 ,742,
2011/7/4,,4794.28 ,,
2011/7/5,,4790.44 ,,
2011/7/6,,4815.72 ,,
2011/7/7,,4811.98 ,,
2011/7/8,140.45,4812.08 ,744,
2011/7/11,,4857.04 ,,
2011/7/12,,4853.48 ,,
2011/7/13,,4886.68 ,,
2011/7/14,,4871.03 ,,
2011/7/15,140.91,4868.64 ,745,
2011/7/18,,4897.79 ,,
2011/7/19,,4913.94 ,,
2011/7/20,,4920.60 ,,
2011/7/21,,4909.89 ,750,
2011/7/22,141.65,4923.16 ,,
2011/7/25,,4870.55 ,,
2011/7/26,,4895.89 ,,
2011/7/27,,4916.36 ,,
2011/7/28,,4931.27 ,,
2011/7/29,142.39,4925.10 ,742,
2011/8/1,,4964.02 ,,
2011/8/2,,4965.71 ,,
2011/8/3,,4965.12 ,,
2011/8/4,,4951.31 ,750,
2011/8/5,143.39,4858.27 ,,
2011/8/8,,4834.60 ,,
2011/8/9,,4802.46 ,,
2011/8/10,,4822.70 ,,
2011/8/11,,4833.38 ,,
2011/8/12,142.53,4847.40 ,745,
2011/8/15,,4880.52 ,,
2011/8/16,,4859.93 ,,
2011/8/17,,4885.22 ,,
2011/8/18,,4852.26 ,,
2011/8/19,143.39,4839.33 ,752,
2011/8/22,,4840.68 ,,
2011/8/23,,4845.74 ,,
2011/8/24,,4845.59 ,,
2011/8/25,,4835.69 ,752,
2011/8/26,142.42,4820.53 ,,
2011/8/29,,4786.86 ,,
2011/8/30,,4826.20 ,,
2011/8/31,,4846.03 ,,
2011/9/1,,4843.29 ,759,
2011/9/2,141.96,4844.50 ,,
2011/9/5,,4813.16 ,,
2011/9/6,,4805.84 ,,
2011/9/7,,4833.67 ,,
2011/9/8,,4813.50 ,759,
2011/9/9,141.79,4799.99 ,,
2011/9/13,,4791.09 ,,
2011/9/14,,4767.14 ,,
2011/9/15,,4751.35 ,,
2011/9/16,141.68,4738.47 ,753,
2011/9/19,,4628.86 ,,
2011/9/20,,4618.73 ,,
2011/9/21,,4640.94 ,745,
2011/9/22,,4576.29 ,,
2011/9/23,139.14,4519.30 ,,
2011/9/26,,4403.57 ,,
2011/9/27,,4451.65 ,,
2011/9/28,,4408.03 ,,
2011/9/29,,4301.04 ,745,
2011/9/30,136.89,4339.63 ,,
2011/10/7,,,737,
2011/10/10,,4319.28 ,,
2011/10/11,,4324.00 ,,
2011/10/12,,4350.43 ,,
2011/10/13,,4319.09 ,734,
2011/10/14,132.7,4315.11 ,,
2011/10/17,,4186.10 ,,
2011/10/18,,4095.54 ,,
2011/10/19,,4055.46 ,,
2011/10/20,,3932.75 ,,
2011/10/21,129.13,3972.21 ,678,
2011/10/24,,4082.77 ,,
2011/10/25,,4037.33 ,,
2011/10/26,,4053.94 ,,
2011/10/27,,4058.07 ,,
2011/10/28,122.38,4145.24 ,687,
2011/10/31,,4127.19 ,,
2011/11/1,,4054.70 ,,
2011/11/2,,4054.36 ,,
2011/11/3,,4024.27 ,,
2011/11/4,124.06,4126.81 ,684,
2011/11/7,,4119.19 ,,
2011/11/8,,4158.73 ,,
2011/11/9,,4187.23 ,,
2011/11/10,,4077.66 ,,
